BoroCT2020,ScoreBaseSimilarPeopleRetirees,WeightForAggregation
3011000,9,2709
3011200,40,6636
3011400,85,4150
3011600,10,5529
3011700,25,2672
3011800,6,2578
3011901,40,1589
3012000,30,1176
3012100,15,1916
3012200,50,5521
3012600,15,3085
3012700,25,4036
3012801,80,2567
3012901,25,2333
3012902,7,3318
3013000,40,5347
3013100,10,3979
3013200,40,2870
3013300,9,4411
3013400,67,4212
3013500,25,3799
3013600,50,4079
3013700,50,3406
3013800,83,3247
3013900,9,3727
3014000,70,2136
3014101,30,1621
3014102,40,1858
3014200,63,3434
3014300,20,3705
3014500,10,4404
3014700,15,2242
3014800,90,1244
3014901,30,1529
3014902,40,3601
3015000,90,1791
3015100,63,3696
3015200,80,2545
3015300,60,2633
3015500,75,3466
3015700,25,4447
3015900,55,5206
3016000,20,4462
3016100,55,3450
3016200,83,2218
3016300,25,4088
3016400,4,775
3016500,63,5080
3016600,90,1968
3016700,63,4754
3016800,90,1695
3016900,60,4459
3017000,67,3604
3017100,75,3717
3017200,63,3300
3017400,67,1950
3017600,63,2418
3017800,70,2959
3017900,90,3895
3018000,70,3125
3018100,50,4204
3018200,67,3745
3018300,5,2784
3018400,80,2460
3018501,40,4461
3018600,75,2364
3018700,50,1336
3018800,67,2955
3019000,55,4853
3019100,5,3427
3019200,15,3541
3019300,50,6279
3019400,63,3570
3019500,20,3684
3019600,63,4691
3019700,55,3585
3019800,63,2061
3019900,9,3978
3020000,90,2442
3020100,10,3862
3020200,70,2147
3020300,15,2132
3020400,67,2040
3020500,8,3405
3020600,70,2505
3020700,67,4871
3020800,60,3782
3021000,50,4488
3021100,40,2505
3021200,60,5278
3021300,63,3880
3021400,10,2502
3021500,63,5569
3021600,10,4280
3021700,25,4351
3021800,30,4191
3021900,55,4225
3022000,25,5660
3022100,25,3897
3022200,9,5633
3022400,6,6117
3022600,7,2664
3022700,7,4515
3022800,20,3638
3022900,30,3923
3023000,15,4442
3023100,50,3832
3023200,20,6382
3023300,9,5961
3023400,7,5923
3023500,5,5921
3023600,9,6548
3023800,30,5414
3024000,60,5165
3024100,8,3175
3024200,40,3289
3024300,30,4347
3024400,7,3651
3024500,20,4257
3024600,40,3436
3024700,20,2820
3024800,67,2647
3024900,8,4264
3025000,60,1748
3025100,30,4209
3025200,30,5300
3025300,40,3517
3025400,67,3650
3025500,30,4799
3025600,70,3366
3025700,5,2822
3025800,50,5073
3025901,10,2328
3025902,15,3560
3026000,88,3656
3026100,7,6479
3026200,67,2726
3026300,10,2088
3026400,40,5103
3026500,25,4385
3026600,63,3961
3026700,70,4228
3026800,60,4686
3026900,63,3005
3027000,40,2719
3027100,10,3493
3027200,70,3633
3027300,60,3131
3027400,60,3272
3027500,40,4071
3027600,30,3886
3027700,30,4351
3027800,63,3542
3027900,30,3674
3028000,50,1862
3028100,8,4800
3028200,80,3282
3028300,25,3933
3028400,30,4396
3028501,7,636
3028502,70,2658
3028600,30,6094
3028700,70,3103
3028800,60,3900
3028900,30,3933
3029000,63,4377
3029100,60,3042
3029200,40,2781
3029300,55,3402
3029400,91,2298
3029500,63,3851
3029600,63,5993
3029700,60,3921
3029800,60,3955
3029900,75,2496
3030000,70,4224
3030100,63,2970
3030200,70,4391
3030300,20,4952
3030400,83,4686
3030500,20,7249
3030600,63,2215
3030700,30,5625
3030800,91,2314
3030900,10,2209
3031100,20,3191
3031300,40,5109
3031401,40,5142
3031500,40,5613
3031701,30,3999
3031702,10,3714
3031900,40,3452
3032100,60,5488
3032300,70,3509
3032500,55,6218
3032600,50,7075
3032700,40,3074
3032800,70,3090
3032900,63,5707
3033000,67,4423
3033100,70,4217
3033300,40,4503
3033500,55,3231
3033600,85,4765
3033701,30,2510
3033702,25,2116
3033900,75,4676
3034000,94,1958
3034100,90,2685
3034200,90,7060
3034300,55,5024
3034500,8,2738
3034700,30,3645
3034800,6,2828
3034901,30,2067
3034902,40,3347
3035000,93,3082
3035101,30,2243
3035102,25,2626
3035200,96,1367
3035301,40,2566
3035302,25,2811
3035400,93,5493
3035500,55,5192
3035601,94,2902
3035602,92,5474
3035701,30,2322
3035900,10,5617
3036001,92,3387
3036002,93,4203
3036100,75,2964
3036200,50,4140
3036300,50,5385
3036400,63,3006
3036501,30,2959
3036502,9,1902
3036600,63,4681
3036700,8,1796
3036900,9,6136
3037000,83,4750
3037100,20,4503
3037300,15,4385
3037401,85,4696
3037402,85,5367
3037500,15,3809
3037700,67,3970
3037900,80,3851
3038100,20,5313
3038200,85,5882
3038300,60,4338
3038500,50,3969
3038600,50,3812
3038700,20,4908
3038800,55,4047
3038900,8,3570
3039000,70,2321
3039100,8,5776
3039200,67,2908
3039300,7,4141
3039400,67,2187
3039500,30,4030
3039600,50,1948
3039700,30,3868
3039800,75,2841
3039900,20,4378
3040000,63,3281
3040100,20,3778
3040200,80,3025
3040300,50,3892
3040400,63,2812
3040500,8,1829
3040600,75,3599
3040800,40,3933
3040900,8,3800
3041000,63,2136
3041100,55,3332
3041200,63,3375
3041300,40,3951
3041401,63,1480
3041402,63,1855
3041500,9,4032
3041600,55,2112
3041700,70,3348
3041800,70,2645
3041900,20,3880
3042000,63,1912
3042100,10,4866
3042200,30,3663
3042300,10,4566
3042400,30,4175
3042500,3,3026
3042600,75,4350
3042700,6,4920
3042800,75,4290
3042900,5,5556
3043000,50,3842
3043100,8,4884
3043200,60,4514
3043300,20,3843
3043400,67,3866
3043500,10,4709
3043600,67,4694
3043700,8,5282
3043800,40,2905
3043900,30,4097
3044000,55,2878
3044100,20,5526
3044200,80,2631
3044300,10,5195
3044400,70,3260
3044500,25,4207
3044600,25,2026
3044700,5,2459
3044800,70,1965
3044901,30,2694
3044902,0,44
3045000,20,645
3045200,70,2618
3045300,8,1886
3045400,70,2036
3045600,50,2767
3045800,75,1558
3046000,55,3828
3046201,83,2700
3046202,67,1891
3046400,25,2732
3046800,8,2138
3047000,15,2823
3047200,9,3099
3047400,30,3232
3047600,70,4054
3047700,7,4226
3047800,20,5308
3048000,50,3824
3048100,30,3105
3048200,50,6122
3048400,25,5922
3048500,7,2470
3048600,25,3597
3048800,50,4536
3048900,80,3757
3049000,50,6036
3049100,85,6366
3049200,30,3366
3049301,30,1897
3049302,40,5476
3049400,75,5527
3049500,9,3114
3049600,15,4646
3049700,15,3141
3049800,30,4517
3049900,6,2147
3050001,30,2062
3050002,30,1607
3050100,50,2951
3050202,83,2312
3050300,9,2759
3050401,30,2997
3050402,40,2004
3050500,60,4567
3050600,30,5612
3050700,2,3545
3050801,25,4311
3050803,25,2548
3050804,25,6196
3050900,2,5112
3051001,60,3740
3051002,50,4600
3051100,80,4545
3051200,40,5946
3051300,15,5526
3051400,50,7023
3051500,3,2451
3051601,25,5407
3051602,60,3874
3051700,4,2636
3051800,75,3528
3051900,5,6101
3052000,30,4175
3052300,30,5405
3052500,70,3720
3052600,40,4353
3052700,25,6045
3052800,90,1804
3052900,9,4299
3053000,30,3606
3053101,8,2997
3053102,7,5890
3053200,70,2510
3053300,25,7115
3053400,50,4777
3053500,8,4469
3053700,9,4304
3053800,40,5535
3053900,80,2668
3054200,63,4750
3054400,75,3785
3054500,70,7304
3054600,83,5409
3054700,5,7855
3054800,85,2189
3054900,2,4748
3055000,60,3956
3055100,25,6343
3055200,63,3735
3055300,15,3078
3055400,55,4813
3055500,4,8688
3055600,60,3880
3055700,20,1848
3055800,63,2736
3056000,90,3882
3056100,40,3460
3056200,90,1695
3056301,50,4923
3056302,25,2002
3056400,83,2626
3056500,40,3738
3056600,85,2548
3056800,90,1310
3056900,15,1624
3057000,91,3534
3057100,40,4267
3057200,90,5221
3057300,10,2590
3057400,91,2560
3057500,9,4902
3057600,90,2912
3057800,60,3332
3057901,50,1416
3058000,70,3502
3058200,10,3044
3058400,63,3797
3058600,88,2655
3058800,88,3532
3058901,50,1781
3059000,55,2014
3059100,50,3856
3059200,80,4268
3059300,20,2274
3059402,91,5105
3059403,40,3779
3059404,30,4426
3059600,91,2569
3059800,63,3617
3060000,67,6844
3060600,88,3178
3060800,67,4015
3061002,91,5064
3061003,15,2418
3061004,90,6669
3061200,91,1063
3061600,92,1854
3062000,91,1767
3062200,90,3325
3062600,83,3152
3062800,63,5222
3063200,91,1476
3063600,88,1317
3063800,88,1617
3064000,83,1620
3064200,80,2865
3064400,40,2702
3064600,30,2226
3064800,80,1993
3065000,80,1439
3065200,91,1197
3065400,90,1681
3065600,67,1795
3065800,75,1844
3066000,90,1762
3066200,90,1497
3067000,67,2876
3067200,90,1435
3067400,80,1992
3067600,80,1622
3067800,83,2874
3068000,63,1887
3068200,90,2489
3068600,70,1749
3068800,90,1706
3069000,50,1880
3069200,55,2512
3069601,67,3932
3069602,80,6275
3069800,85,1417
3070000,70,1650
3070201,91,6719
3070601,30,2703
3072000,15,2205
3072200,90,2893
3072400,80,1911
3072600,83,2582
3072800,90,3645
3073000,90,2170
3073200,85,2173
3073400,83,1818
3073600,40,3473
3073800,60,3290
3074000,67,3446
3074200,67,3023
3074400,25,2481
3074600,88,2100
3074800,60,1936
3075000,30,2928
3075200,91,1042
3075400,85,1402
3075600,67,1934
3075800,83,2005
3076000,83,2832
3076200,70,4391
3076400,40,3783
3076600,50,1990
3076800,25,4049
3077000,25,2776
3077200,80,3070
3077400,25,3029
3077600,88,3784
3078000,83,2197
3078200,83,4081
3078400,75,2441
3078601,30,2374
3078602,40,2073
3078801,30,2040
3078802,30,1328
3079001,40,1347
3079002,40,3769
3079201,30,1743
3079202,20,3171
3079400,15,2742
3079601,60,4125
3079602,60,4489
3079801,50,2957
3079802,10,5647
3080000,75,3562
3080200,75,4521
3080400,70,3327
3080600,10,3781
3080800,90,1940
3081000,55,2907
3081400,80,3121
3081600,25,2580
3081800,25,4830
3082000,30,5495
3082200,67,7201
3082400,40,4963
3082600,70,5165
3082800,30,4206
3083000,63,6167
3083200,83,2362
3083400,90,1733
3083600,83,2160
3083800,90,2226
3084000,91,2324
3084600,75,1986
3084800,80,1728
3085000,80,1509
3085400,80,1962
3085600,60,3568
3085800,60,2474
3086000,75,3809
3086200,30,3427
3086400,75,2499
3086600,60,3385
3086800,70,3413
3087000,55,3570
3087200,70,3128
3087401,85,3740
3087600,50,2098
3087800,90,2730
3088001,40,2127
3088002,30,1374
3088200,50,6804
3088400,55,5513
3088600,40,4547
3088800,63,4001
3089000,70,6683
3089200,60,3673
3089400,20,3834
3089600,30,4081
3089800,25,2329
3090000,15,5434
3090200,40,3817
3090600,7,4534
3090800,7,5893
3091000,83,5814
3091200,25,6572
3091600,10,5309
3091800,40,2703
3092000,30,3491
3092200,83,3031
3092400,9,3628
3092800,88,2861
3093000,90,2567
3093200,93,1277
3093400,90,2466
3093600,70,1854
3093800,83,2662
3094401,90,3447
3094402,50,2810
3094600,88,2079
3095000,70,3170
3095400,60,5156
3095600,60,4391
3095800,67,3770
3096000,0,6
3096200,40,1701
3096400,50,2621
3096600,67,2353
3096800,30,1555
3097000,55,2357
3097400,90,2911
3098200,60,4076
3098400,63,2074
3098600,75,2814
3098800,70,3083
3099000,50,1652
3099200,55,2056
3099400,30,2116
3099600,70,4052
3099800,55,4234
3100400,50,2901
3100600,70,2662
3100800,50,2189
3101000,50,2605
3101200,63,2115
3101400,80,2268
3101600,83,1551
3101800,83,2030
3102000,67,2186
3102200,40,2313
3102400,30,2257
3102600,50,2973
3102801,40,1754
3103401,25,3980
3105801,91,7013
3105804,92,6482
3107001,20,3543
3107800,91,4112
3109800,15,2290
3110400,55,5068
3110600,30,4558
3111000,67,3037
3111600,25,3434
3111800,30,3507
3112000,60,3480
3112200,67,3514
3112400,8,4288
3112600,30,4368
3112800,40,4461
3113000,30,4460
3113200,25,2427
3113400,9,2658
3114201,25,1880
3114202,50,2670
3114400,7,2414
3114600,25,3134
3115000,8,3123
3115200,10,3496
3115600,25,4452
3115800,60,3260
3116000,25,2630
3116200,50,2374
3116400,60,3275
3116600,8,3484
3116800,6,2273
3117000,10,1974
3117201,30,2602
3117202,50,4266
3117400,15,4331
3117601,30,2760
3117602,20,3492
3117800,55,1820
3118201,10,3345
3118202,10,3275
3118400,20,5434
3118600,25,3147
3118800,20,5156
3119000,10,2217
3119200,30,3636
3119400,7,4320
3119600,9,6458
3119800,30,3696
3120000,25,2873
3120200,20,1972
3120801,30,3999
3120802,25,3770
3120803,30,2010
3121000,63,3688
3121400,20,4100
3122000,15,6169
3123700,2,8586
3150200,30,2616
3152200,63,3287
4000101,40,4659
4000102,50,7484
4000103,0,33
4000104,0,27
4000200,40,3084
4000400,25,4918
4000600,25,4177
4000701,40,3460
4000702,50,4260
4000800,40,3580
4001000,40,3789
4001200,40,4183
4001400,60,4114
4001600,60,3041
4001800,20,3044
4001901,50,1434
4001902,55,8645
4001903,55,2214
4002000,70,1871
4002200,55,2290
4002400,75,2195
4002500,80,7242
4002600,67,2150
4002800,50,3304
4003000,90,1479
4003100,5,2157
4003200,25,1791
4003301,55,4399
4003302,40,2166
4003400,55,2442
4003600,20,4195
4003700,0,2
4003800,40,2490
4003900,20,1462
4004001,60,2403
4004002,8,1361
4004200,25,4505
4004300,63,2326
4004401,20,3916
4004500,91,3252
4004700,55,4090
4005100,25,2512
4005200,20,3080
4005300,30,5397
4005400,30,5609
4005500,50,1367
4005700,7,4277
4005800,80,6194
4005900,60,4231
4006100,15,6291
4006201,92,5389
4006202,40,6949
4006300,15,5877
4006501,8,3645
4006502,25,4004
4006900,30,5196
4007100,25,4355
4007300,20,4470
4007500,70,4477
4007700,7,2114
4007900,30,3628
4008100,5,1761
4008300,8,3515
4008500,4,1979
4008600,40,2989
4008700,40,5176
4008800,63,3449
4009100,60,2733
4009400,40,2919
4009500,40,2510
4009600,85,3127
4009700,20,3860
4009800,63,2631
4010000,55,3383
4010100,70,2654
4010200,40,2866
4010300,63,4150
4010400,30,3315
4010500,55,4641
4010600,70,3417
4010701,0,7
4010800,40,3034
4011000,25,3190
4011100,40,2902
4011200,60,2497
4011300,30,4280
4011400,50,1539
4011500,55,2414
4011600,25,2370
4011700,25,3840
4011800,10,2690
4011900,15,1729
4012000,50,2385
4012100,50,2177
4012200,55,2802
4012301,25,3272
4012400,75,2873
4012500,40,1735
4012601,40,2596
4012602,67,2715
4012800,70,2212
4013000,63,1757
4013200,75,1919
4013400,60,5904
4013500,80,1526
4013600,60,1994
4013700,50,1747
4013800,70,3785
4014000,50,3952
4014100,10,1645
4014201,7,4702
4014202,85,2870
4014300,25,4007
4014400,50,2005
4014500,60,2368
4014700,70,2933
