BoroCT2020,ScoreBaseMidSchool,WeightForAggregation
2034000,50,"0,2"
2034200,50,"0,2"
2034300,0,"0,1"
2034400,90,"0,2"
2034500,0,"0,3"
2034800,90,"0,4"
2035000,90,"0,2"
2035100,0,"0,6"
2035600,90,"0,4"
2035800,90,"0,7"
2035900,26,"0,1"
2036000,90,"0,3"
2036100,1,"0,2"
2036300,26,"0,2"
2036400,90,"0,2"
2036501,26,"0,1"
2036502,26,"0,1"
2036700,26,"0,1"
2036800,90,"0,2"
2036901,80,"0,1"
2036902,60,"0,1"
2037000,90,"0,2"
2037100,26,"0,2"
2037200,90,"0,2"
2037300,60,"0,2"
2037400,6,"0,2"
2037504,60,"0,2"
2037600,6,"0,1"
2037800,6,"0,1"
2037900,56,"0,2"
2038000,90,"0,2"
2038100,70,"0,2"
2038200,90,"0,2"
2038301,30,"0,1"
2038303,9,"0,1"
2038304,9,"0,1"
2038500,15,"0,2"
2038600,90,"0,4"
2038700,15,"0,2"
2038800,90,"0,1"
2038900,15,"0,2"
2039000,90,"0,2"
2039100,26,"0,2"
2039200,6,"0,1"
2039300,26,"0,2"
2039400,6,"0,1"
2039500,80,"0,4"
2039600,90,"0,2"
2039700,9,"0,5"
2039800,90,"0,2"
2039901,30,"0,2"
2039902,9,"0,1"
2040100,30,"0,2"
2040302,56,"0,1"
2040303,40,"0,1"
2040304,40,"0,1"
2040400,20,"0,2"
2040501,0,"0,1"
2040502,6,"0,1"
2040600,6,"0,2"
2040701,40,"0,1"
2040702,40,"0,2"
2040800,6,"0,1"
2040900,20,"1,2"
2041100,40,"0,1"
2041300,40,"0,2"
2041400,6,"0,6"
2041500,40,"0,1"
2041800,30,"0,3"
2041900,40,"0,3"
2042000,6,"0,2"
2042100,40,"0,2"
2042200,20,"0,2"
2042300,40,"0,2"
2042400,20,"0,2"
2042500,40,"0,3"
2042600,20,"0,5"
2042800,20,"0,2"
2042901,40,"0,1"
2042902,40,"0,1"
2043000,20,"0,2"
2043101,40,"0,1"
2043102,40,"0,1"
2043400,20,"0,3"
2043501,70,"0,4"
2043600,20,"0,2"
2044200,20,"0,2"
2044400,20,"0,4"
2044800,20,"0,2"
2044901,80,"0,2"
2044902,80,"0,2"
2045101,30,"0,2"
2045102,30,"0,2"
2045600,20,"0,9"
2045800,20,"0,2"
2046000,20,"0,3"
2046203,30,"0,9"
2046204,23,"0,1"
2046205,90,"0,9"
2046206,0,"0,1"
2046207,90,"0,2"
2046208,90,"0,5"
2046209,20,"0,5"
2048401,20,"0,5"
2048402,20,"0,2"
2051601,13,"1,2"
3000100,80,"0,2"
3000200,94,"0,3"
3000301,80,"0,2"
3000501,80,"0,1"
3000502,80,"0,1"
3000700,80,"0,2"
3000900,80,"0,2"
3001100,80,"0,2"
3001300,80,"0,3"
3001501,80,"0,2"
3001502,80,"0,1"
3001801,94,"0,5"
3001802,94,"0,6"
3001803,50,"0,6"
3002000,23,"0,2"
3002100,80,"0,5"
3002200,50,"0,3"
3002300,80,"0,2"
3002901,80,"0,1"
3003000,10,"0,1"
3003101,80,"0,2"
3003300,80,"0,2"
3003400,10,"0,5"
3003500,80,"0,1"
3003600,10,"0,1"
3003700,80,"0,2"
3003800,10,"0,1"
3003900,23,"0,2"
3004100,23,"0,2"
3004300,23,"0,2"
3004400,80,"0,4"
3004500,50,"0,2"
3004600,26,"0,3"
3004700,80,"0,3"
3004900,50,"0,1"
3005000,26,"0,2"
3005100,26,"0,2"
3005201,90,"0,1"
3005202,90,"0,1"
3005301,26,"0,6"
3005302,26,"0,8"
3005400,15,"0,2"
3005601,15,"0,2"
3005602,15,"0,1"
3005800,90,"0,2"
3005900,26,"0,4"
3006000,90,"0,2"
3006200,90,"0,2"
3006300,26,"0,1"
3006400,80,"0,2"
3006500,26,"0,2"
3006600,10,"0,2"
3006700,50,"0,2"
3006800,10,"0,2"
3006901,23,"0,1"
3006902,23,"0,1"
3007000,50,"0,1"
3007100,23,"0,2"
3007200,50,"0,1"
3007400,50,"0,1"
3007500,50,"0,3"
3007600,23,"0,1"
3007700,50,"0,4"
3007800,23,"0,1"
3008000,23,"0,1"
3008200,23,"0,1"
3008400,94,"0,2"
3008500,26,"0,2"
3008800,94,"0,2"
3009001,30,"0,1"
3009002,30,"0,1"
3009201,30,"0,1"
3009202,30,"0,1"
3009401,60,"0,1"
3009402,60,"0,1"
3009600,30,"0,2"
3009800,23,"0,2"
3010000,23,"0,2"
3010100,94,"0,3"
3010200,50,"0,2"
3010401,50,"0,1"
3010402,70,"0,1"
3010601,80,"0,1"
3010602,80,"0,1"
3010801,20,"0,1"
3010802,20,"0,1"
3011000,10,"0,2"
3011200,23,"0,2"
3011400,60,"0,2"
3011600,80,"0,2"
3011700,26,"0,2"
3011800,50,"0,2"
3011901,56,"0,5"
3012000,50,"0,2"
3012100,26,"0,1"
3012200,50,"0,2"
3012600,10,"0,2"
3012700,50,"0,2"
3012801,10,"0,1"
3012901,50,"0,1"
3012902,70,"0,1"
3013000,10,"0,2"
3013100,26,"0,2"
3013200,10,"0,2"
3013300,50,"0,1"
3013400,10,"0,3"
3013500,23,"0,2"
3013600,10,"0,2"
3013700,23,"0,2"
3013800,90,"0,2"
3013900,94,"0,2"
3014000,90,"0,1"
3014101,94,"0,1"
3014102,94,"0,1"
3014200,90,"0,2"
3014300,94,"0,2"
3014500,94,"0,2"
3014700,94,"0,1"
3014800,26,"0,1"
3014901,94,"0,1"
3014902,94,"0,2"
3015000,26,"0,1"
3015100,94,"0,1"
3015200,15,"0,3"
3015300,94,"0,2"
3015500,23,"0,1"
3015700,50,"0,2"
3015900,50,"0,3"
3016000,90,"0,3"
3016100,70,"0,2"
3016200,15,"0,2"
3016300,70,"0,2"
3016400,70,"0,8"
3016500,50,"0,2"
3016600,90,"0,3"
3016700,94,"0,2"
3016800,70,"0,2"
3016900,94,"0,2"
3017000,94,"0,2"
3017100,94,"0,2"
3017200,94,"0,2"
3017400,70,"0,2"
3017600,90,"0,1"
3017800,90,"0,2"
3017900,80,"0,2"
3018000,94,"0,2"
3018100,80,"0,2"
3018200,90,"0,2"
3018300,80,"0,1"
3018400,90,"0,1"
3018501,80,"0,1"
3018600,90,"0,1"
3018700,80,"0,1"
3018800,90,"0,2"
3019000,90,"0,2"
3019100,80,"0,3"
3019200,70,"0,2"
3019300,70,"0,3"
3019400,50,"0,2"
3019500,80,"0,1"
3019600,90,"0,2"
3019700,80,"0,2"
3019800,90,"0,1"
3019900,80,"0,2"
3020000,26,"0,1"
3020100,70,"0,2"
3020200,80,"0,1"
3020300,70,"0,1"
3020400,80,"0,1"
3020500,20,"0,2"
3020600,80,"0,2"
3020700,20,"0,1"
3020800,90,"0,1"
3021000,50,"0,1"
3021100,80,"0,3"
3021200,50,"0,2"
3021300,70,"0,2"
3021400,70,"0,2"
3021500,70,"0,2"
3021600,80,"0,2"
3021700,70,"0,1"
3021800,80,"0,2"
3021900,80,"0,1"
3022000,80,"0,2"
3022100,80,"0,2"
3022200,80,"0,2"
3022400,70,"0,2"
3022600,70,"0,2"
3022700,70,"0,2"
3022800,70,"0,2"
3022900,70,"0,2"
3023000,70,"0,2"
3023100,70,"0,2"
3023200,70,"0,2"
3023300,70,"0,2"
3023400,70,"0,2"
3023500,17,"0,1"
3023600,70,"0,2"
3023800,70,"0,2"
3024000,70,"0,2"
3024100,30,"0,2"
3024200,50,"0,2"
3024300,70,"0,2"
3024400,56,"0,2"
3024500,70,"0,2"
3024600,56,"0,2"
3024700,70,"0,2"
3024800,50,"0,2"
3024900,70,"0,2"
3025000,50,"0,2"
3025100,70,"0,1"
3025200,50,"0,2"
3025300,30,"0,2"
3025400,56,"0,2"
3025500,30,"0,1"
3025600,50,"0,2"
3025700,23,"0,2"
3025800,50,"0,2"
3025901,80,"0,1"
3025902,80,"0,1"
3026000,50,"0,2"
3026100,80,"0,2"
3026200,50,"0,2"
3026300,80,"0,1"
3026400,50,"0,2"
3026500,80,"0,2"
3026600,50,"0,2"
3026700,70,"0,2"
3026800,0,"0,2"
3026900,70,"0,1"
3027000,56,"0,1"
3027100,80,"0,2"
3027200,56,"0,1"
3027300,80,"0,1"
3027400,70,"0,2"
3027500,80,"0,2"
3027600,90,"0,1"
3027700,80,"0,2"
3027800,90,"0,2"
3027900,80,"0,2"
3028000,90,"0,1"
3028100,80,"0,2"
3028200,26,"0,2"
3028300,80,"0,1"
3028400,70,"0,2"
3028501,23,"0,1"
3028502,80,"0,1"
3028600,26,"0,2"
3028700,80,"0,1"
3028800,70,"0,2"
3028900,80,"0,2"
3029000,70,"0,2"
3029100,80,"0,2"
3029200,70,"0,2"
3029300,80,"0,2"
3029400,70,"0,2"
3029500,80,"0,2"
3029600,70,"0,2"
3029700,80,"0,2"
3029800,70,"0,2"
3029900,80,"0,1"
3030000,70,"0,2"
3030100,60,"0,2"
3030200,70,"0,2"
3030300,60,"0,3"
3030400,70,"0,5"
3030500,6,"0,3"
3030600,70,"0,2"
3030700,80,"0,3"
3030800,70,"0,7"
3030900,80,"0,2"
3031100,80,"0,2"
3031300,80,"0,2"
3031401,56,"0,4"
3031500,80,"0,2"
3031701,80,"0,1"
3031702,80,"0,1"
3031900,80,"0,2"
3032100,80,"0,2"
3032300,80,"0,2"
3032500,80,"0,2"
3032600,50,"0,3"
3032700,70,"0,2"
3032800,56,"0,2"
3032900,23,"0,2"
3033000,56,"0,4"
3033100,23,"0,1"
3033300,23,"0,2"
3033500,80,"0,2"
3033600,0,"0,7"
3033701,80,"0,1"
3033702,80,"0,1"
3033900,80,"0,2"
3034000,0,"0,1"
3034100,80,"0,1"
3034200,0,"0,2"
3034300,80,"0,2"
3034500,80,"0,2"
3034700,80,"0,1"
3034800,60,"0,6"
3034901,80,"0,1"
3034902,80,"0,1"
3035000,26,"0,2"
3035101,80,"0,1"
3035102,80,"0,1"
3035200,56,1
3035301,80,"0,1"
3035302,80,"0,1"
3035400,90,"0,4"
3035500,0,"0,1"
3035601,26,"0,1"
3035602,56,"0,2"
3035701,80,"0,1"
3035900,80,"0,2"
3036001,56,"0,1"
3036002,56,"0,1"
3036100,80,"0,1"
3036200,56,"0,2"
3036300,80,"0,3"
3036400,56,"0,1"
3036501,60,"0,1"
3036502,80,"0,1"
3036600,56,"0,2"
3036700,60,"0,2"
3036900,80,"0,2"
3037000,56,"0,3"
3037100,60,"0,2"
3037300,94,"0,2"
3037401,56,"0,2"
3037402,60,"0,3"
3037500,94,"0,2"
3037700,80,"0,2"
3037900,80,"0,2"
3038100,80,"0,2"
3038200,70,"0,2"
3038300,80,"0,2"
3038500,80,"0,2"
3038600,70,"0,3"
3038700,94,"0,2"
3038800,50,"0,2"
3038900,40,"0,2"
3039000,70,"0,2"
3039100,40,"0,2"
3039200,70,"0,2"
3039300,80,"0,2"
3039400,50,"0,2"
3039500,94,"0,2"
3039600,50,"0,2"
3039700,94,"0,2"
3039800,50,"0,2"
3039900,94,"0,2"
3040000,50,"0,2"
3040100,94,"0,2"
3040200,50,"0,2"
3040300,80,"0,2"
3040400,50,"0,2"
3040500,60,"0,1"
3040600,50,"0,1"
3040800,50,"0,2"
3040900,56,"0,2"
3041000,50,"0,1"
3041100,50,"0,1"
3041200,50,"0,2"
3041300,94,"0,2"
3041401,50,"0,1"
3041402,50,"0,2"
3041500,70,"0,2"
3041600,50,"0,2"
3041700,70,"0,1"
3041800,0,"0,2"
3041900,90,"0,2"
3042000,0,"0,2"
3042100,90,"0,2"
3042200,50,"0,2"
3042300,9,"0,2"
3042400,50,"0,2"
3042500,9,"0,2"
3042600,50,"0,2"
3042700,40,"0,1"
3042800,50,"0,2"
3042900,40,"0,2"
3043000,0,"0,2"
3043100,90,"0,2"
3043200,15,"0,1"
3043300,80,"0,2"
3043400,56,"0,1"
3043500,70,"0,2"
3043600,15,"0,1"
3043700,94,"0,2"
3043800,56,"0,2"
3043900,94,"0,2"
3044000,56,"0,2"
3044100,80,"0,1"
3044200,0,"0,2"
3044300,30,"0,2"
3044400,15,"0,2"
3044500,30,"0,2"
3044600,15,"0,1"
3044700,30,"0,2"
3044800,56,"0,2"
3044901,9,"0,4"
3044902,30,"1,7"
3045000,56,"0,2"
3045200,0,"0,2"
3045300,40,"0,3"
3045400,0,"0,1"
3045600,9,"0,2"
3045800,40,"0,2"
3046000,9,"0,2"
3046201,70,"0,1"
3046202,56,"0,2"
3046400,70,"0,2"
3046800,56,"0,3"
3047000,70,"0,2"
3047200,70,"0,2"
3047400,70,"0,2"
3047600,70,"0,2"
3047700,9,"0,2"
3047800,70,"0,2"
3048000,70,"0,2"
3048100,20,"0,2"
3048200,26,"0,2"
3048400,70,"0,2"
3048500,40,"0,6"
3048600,70,"0,2"
3048800,70,"0,1"
3048900,30,"0,1"
3049000,70,"0,2"
3049100,50,"0,2"
3049200,26,"0,2"
3049301,20,"0,1"
3049302,20,"0,2"
3049400,23,"0,2"
3049500,20,"0,1"
3049600,70,"0,2"
3049700,9,"0,2"
3049800,23,"0,2"
3049900,9,"0,1"
3050001,23,"0,1"
3050002,10,"0,1"
3050100,13,"0,2"
3050202,94,"0,1"
3050300,20,"0,1"
3050401,70,"0,1"
3050402,17,"0,1"
3050500,20,"0,2"
3050600,70,"0,2"
3050700,30,"0,2"
3050801,70,"0,1"
3050803,70,"0,1"
3050804,70,"0,1"
3050900,50,"0,1"
3051001,40,"0,1"
3051002,40,"0,1"
3051100,50,"0,2"
3051200,9,"0,1"
3051300,23,"0,3"
3051400,40,"0,2"
3051500,13,"0,2"
3051601,9,"0,1"
3051602,40,"0,1"
3051700,13,"0,2"
3051800,9,"0,2"
3051900,13,"0,3"
3052000,9,"0,2"
3052300,13,"0,1"
3052500,40,"0,1"
3052600,9,"0,2"
3052700,50,"0,2"
3052800,9,"0,2"
3052900,50,"0,2"
3053000,9,"0,2"
3053101,40,"0,1"
3053102,40,"0,1"
3053200,56,"0,2"
3053300,40,"0,2"
3053400,0,"0,2"
3053500,40,"0,1"
3053700,40,"0,2"
3053800,56,"0,2"
3053900,40,"0,1"
3054200,0,"0,2"
3054400,0,"0,2"
3054500,40,"0,2"
3054600,56,"0,2"
3054700,40,"0,2"
3054800,56,"0,2"
3054900,40,"0,2"
3055000,56,"0,2"
3055100,13,"0,2"
3055200,0,"0,2"
3055300,13,"0,2"
3055400,0,"0,2"
3055500,13,"0,3"
3055600,0,"0,2"
3055700,13,"0,3"
3055800,0,"0,2"
3056000,26,"0,2"
3056100,9,"0,3"
3056200,26,"0,2"
3056301,9,"0,2"
3056302,9,"0,2"
3056400,50,"0,2"
3056500,9,"0,2"
3056600,50,"0,2"
3056800,50,"0,1"
3056900,9,"0,1"
3057000,50,"0,3"
3057100,9,"0,2"
3057200,50,"0,2"
3057300,9,"0,2"
3057400,26,"0,2"
