BoroCT2020,ScoreBaseSimilarPeopleYoungAdults,WeightForAggregation
2028900,75,4736
2029301,3,1954
2029302,45,5248
2029500,70,4615
2029600,20,2878
2029700,27,4005
2030000,83,6591
2030100,5,1627
2030201,50,4048
2030202,50,6063
2030701,73,5799
2030900,23,3947
2031000,50,4372
2031200,7,1555
2031400,10,2071
2031600,10,2071
2031800,10,1961
2031900,63,454
2032300,23,5001
2032400,50,3113
2032600,40,3494
2032800,63,4133
2033000,83,5837
2033201,83,4103
2033202,40,4204
2033500,73,4339
2033601,45,4306
2033602,45,1555
2033700,15,3838
2033801,40,2337
2033802,40,1737
2034000,80,4858
2034200,8,1732
2034300,10,1706
2034400,23,1930
2034500,40,3754
2034800,63,6640
2035000,20,2284
2035100,63,3539
2035600,20,2261
2035800,91,7542
2035900,8,3731
2036000,23,3024
2036100,78,5569
2036300,91,7074
2036400,27,2603
2036501,60,3897
2036502,40,2449
2036700,27,2672
2036800,20,2165
2036901,23,1910
2036902,20,2324
2037000,20,2536
2037100,70,4504
2037200,20,2289
2037300,86,6117
2037400,45,3890
2037504,45,4023
2037600,27,2274
2037800,27,3569
2037900,81,6878
2038000,75,4938
2038100,91,6853
2038200,40,2852
2038301,75,4635
2038303,40,3468
2038304,30,2508
2038500,80,5362
2038600,91,7949
2038700,70,3401
2038800,30,2941
2038900,87,4819
2039000,60,3323
2039100,91,7210
2039200,8,1809
2039300,90,8033
2039400,84,4647
2039500,75,4254
2039600,75,4485
2039700,40,4492
2039800,60,3347
2039901,81,5254
2039902,89,5548
2040100,78,5009
2040302,73,4197
2040303,86,4843
2040304,60,4125
2040400,50,3530
2040501,60,4385
2040502,90,7320
2040600,60,3792
2040701,50,3235
2040702,91,6968
2040800,83,4475
2040900,30,3580
2041100,60,3215
2041300,92,7781
2041400,73,5342
2041500,90,5872
2041800,70,3752
2041900,90,7205
2042000,70,3905
2042100,90,6135
2042200,27,3211
2042300,78,4179
2042400,20,2553
2042500,90,7667
2042600,80,6982
2042800,8,2230
2042901,70,3711
2042902,70,4334
2043000,30,2952
2043101,40,5185
2043102,45,5050
2043400,50,3649
2043501,30,1192
2043600,15,2061
2044200,67,3877
2044400,45,3984
2044800,15,2007
2044901,20,1946
2044902,30,2229
2045101,15,1817
2045102,20,2142
2045600,20,3056
2045800,75,5662
2046000,30,2890
2046203,50,6599
2046204,50,5552
2046205,50,4445
2046206,50,4434
2046207,50,6228
2046208,45,5155
2046209,40,3707
2048401,45,3888
2048402,0,41
2051601,50,4445
3000100,67,4616
3000200,15,1205
3000301,67,3850
3000501,70,4404
3000502,63,2640
3000700,75,4415
3000900,90,5167
3001100,60,1578
3001300,20,2465
3001501,45,5161
3001502,60,5801
3001801,63,2563
3001802,0,6
3001803,0,16
3002000,10,1694
3002100,91,5975
3002200,67,4589
3002300,63,3940
3002901,63,3149
3003000,10,1811
3003101,60,3395
3003300,90,4807
3003400,40,3489
3003500,27,2402
3003600,45,3959
3003700,75,4565
3003800,7,1529
3003900,50,2644
3004100,75,3398
3004300,83,3810
3004400,10,2448
3004500,67,3476
3004600,3,1154
3004700,20,1951
3004900,40,2412
3005000,15,2535
3005100,30,2658
3005201,7,1879
3005202,27,2668
3005301,45,2164
3005302,50,86
3005400,50,3426
3005601,27,2692
3005602,15,1734
3005800,40,3450
3005900,15,1742
3006000,60,2876
3006200,40,2958
3006300,27,2007
3006400,20,3623
3006500,89,5461
3006600,63,3974
3006700,70,3618
3006800,81,5491
3006901,50,1631
3006902,45,1962
3007000,20,2454
3007100,70,4362
3007200,23,2082
3007400,78,5829
3007500,83,4691
3007600,84,4872
3007700,78,5690
3007800,86,5333
3008000,67,4024
3008200,78,4008
3008400,60,3311
3008500,89,6673
3008800,30,3258
3009001,40,1886
3009002,40,1391
3009201,40,2087
3009202,40,3424
3009401,40,3127
3009402,40,3168
3009600,89,6462
3009800,90,7440
3010000,84,7741
3010100,83,4590
3010200,81,6578
3010401,40,3015
3010402,40,2965
3010601,40,3037
3010602,40,2820
3010801,40,2876
3010802,45,2840
3011000,23,2709
3011200,80,6636
3011400,60,4150
3011600,60,5529
3011700,70,2672
3011800,27,2578
3011901,50,1589
3012000,10,1176
3012100,40,1916
3012200,90,5521
3012600,40,3085
3012700,90,4036
3012801,20,2567
3012901,63,2333
3012902,67,3318
3013000,80,5347
3013100,89,3979
3013200,15,2870
3013300,81,4411
3013400,67,4212
3013500,67,3799
3013600,60,4079
3013700,67,3406
3013800,40,3247
3013900,78,3727
3014000,27,2136
3014101,40,1621
3014102,45,1858
3014200,45,3434
3014300,81,3705
3014500,86,4404
3014700,45,2242
3014800,5,1244
3014901,45,1529
3014902,45,3601
3015000,7,1791
3015100,67,3696
3015200,15,2545
3015300,30,2633
3015500,60,3466
3015700,81,4447
3015900,90,5206
3016000,73,4462
3016100,80,3450
3016200,23,2218
3016300,81,4088
3016400,8,775
3016500,83,5080
3016600,8,1968
3016700,81,4754
3016800,8,1695
3016900,83,4459
3017000,30,3604
3017100,50,3717
3017200,63,3300
3017400,10,1950
3017600,20,2418
3017800,40,2959
3017900,73,3895
3018000,30,3125
3018100,78,4204
3018200,45,3745
3018300,70,2784
3018400,23,2460
3018501,67,4461
3018600,15,2364
3018700,20,1336
3018800,30,2955
3019000,80,4853
3019100,81,3427
3019200,45,3541
3019300,78,6279
3019400,67,3570
3019500,80,3684
3019600,60,4691
3019700,63,3585
3019800,15,2061
3019900,81,3978
3020000,20,2442
3020100,84,3862
3020200,10,2147
3020300,40,2132
3020400,8,2040
3020500,73,3405
3020600,10,2505
3020700,84,4871
3020800,30,3782
3021000,63,4488
3021100,40,2505
3021200,67,5278
3021300,78,3880
3021400,20,2502
3021500,89,5569
3021600,45,4280
3021700,73,4351
3021800,30,4191
3021900,81,4225
3022000,67,5660
3022100,89,3897
3022200,45,5633
3022400,78,6117
3022600,45,2664
3022700,84,4515
3022800,60,3638
3022900,84,3923
3023000,60,4442
3023100,73,3832
3023200,73,6382
3023300,90,5961
3023400,73,5923
3023500,87,5921
3023600,89,6548
3023800,60,5414
3024000,70,5165
3024100,70,3175
3024200,30,3289
3024300,84,4347
3024400,45,3651
3024500,89,4257
3024600,30,3436
3024700,60,2820
3024800,30,2647
3024900,86,4264
3025000,10,1748
3025100,83,4209
3025200,81,5300
3025300,75,3517
3025400,40,3650
3025500,73,4799
3025600,45,3366
3025700,60,2822
3025800,75,5073
3025901,60,2328
3025902,60,3560
3026000,27,3656
3026100,91,6479
3026200,20,2726
3026300,50,2088
3026400,78,5103
3026500,83,4385
3026600,63,3961
3026700,75,4228
3026800,50,4686
3026900,67,3005
3027000,20,2719
3027100,63,3493
3027200,63,3633
3027300,67,3131
3027400,50,3272
3027500,87,4071
3027600,63,3886
3027700,73,4351
3027800,50,3542
3027900,78,3674
3028000,20,1862
3028100,84,4800
3028200,50,3282
3028300,67,3933
3028400,70,4396
3028501,5,636
3028502,45,2658
3028600,75,6094
3028700,63,3103
3028800,67,3900
3028900,70,3933
3029000,40,4377
3029100,70,3042
3029200,50,2781
3029300,63,3402
3029400,10,2298
3029500,81,3851
3029600,75,5993
3029700,70,3921
3029800,50,3955
3029900,45,2496
3030000,63,4224
3030100,30,2970
3030200,45,4391
3030300,75,4952
3030400,50,4686
3030500,94,7249
3030600,8,2215
3030700,90,5625
3030800,8,2314
3030900,27,2209
3031100,67,3191
3031300,75,5109
3031401,45,5142
3031500,91,5613
3031701,84,3999
3031702,81,3714
3031900,45,3452
3032100,91,5488
3032300,75,3509
3032500,90,6218
3032600,84,7075
3032700,30,3074
3032800,23,3090
3032900,84,5707
3033000,73,4423
3033100,78,4217
3033300,60,4503
3033500,27,3231
3033600,60,4765
3033701,40,2510
3033702,40,2116
3033900,75,4676
3034000,5,1958
3034100,30,2685
3034200,73,7060
3034300,80,5024
3034500,50,2738
3034700,67,3645
3034800,63,2828
3034901,45,2067
3034902,45,3347
3035000,8,3082
3035101,45,2243
3035102,40,2626
3035200,3,1367
3035301,50,2566
3035302,40,2811
3035400,45,5493
3035500,80,5192
3035601,10,2902
3035602,45,5474
3035701,45,2322
3035900,84,5617
3036001,15,3387
3036002,23,4203
3036100,27,2964
3036200,45,4140
3036300,70,5385
3036400,23,3006
3036501,30,2959
3036502,10,1902
3036600,63,4681
3036700,15,1796
3036900,90,6136
3037000,40,4750
3037100,75,4503
3037300,86,4385
3037401,75,4696
3037402,67,5367
3037500,63,3809
3037700,78,3970
3037900,80,3851
3038100,86,5313
3038200,60,5882
3038300,81,4338
3038500,80,3969
3038600,45,3812
3038700,75,4908
3038800,73,4047
3038900,70,3570
3039000,20,2321
3039100,84,5776
3039200,45,2908
3039300,90,4141
3039400,20,2187
3039500,83,4030
3039600,20,1948
3039700,75,3868
3039800,45,2841
3039900,78,4378
3040000,23,3281
3040100,73,3778
3040200,45,3025
3040300,78,3892
3040400,23,2812
3040500,30,1829
3040600,45,3599
3040800,70,3933
3040900,78,3800
3041000,20,2136
3041100,60,3332
3041200,60,3375
3041300,63,3951
3041401,8,1480
3041402,15,1855
3041500,70,4032
3041600,27,2112
3041700,40,3348
3041800,30,2645
3041900,73,3880
3042000,10,1912
3042100,90,4866
3042200,67,3663
3042300,90,4566
3042400,30,4175
3042500,84,3026
3042600,67,4350
3042700,91,4920
3042800,30,4290
3042900,91,5556
3043000,40,3842
3043100,91,4884
3043200,78,4514
3043300,70,3843
3043400,30,3866
3043500,86,4709
3043600,83,4694
3043700,91,5282
3043800,27,2905
3043900,60,4097
3044000,23,2878
3044100,91,5526
3044200,23,2631
3044300,86,5195
3044400,27,3260
3044500,84,4207
3044600,23,2026
3044700,70,2459
3044800,10,1965
3044901,45,2694
3044902,0,44
3045000,2,645
3045200,20,2618
3045300,63,1886
3045400,7,2036
3045600,15,2767
3045800,5,1558
3046000,30,3828
3046201,10,2700
3046202,15,1891
3046400,20,2732
3046800,23,2138
3047000,20,2823
3047200,15,3099
3047400,15,3232
3047600,30,4054
3047700,91,4226
3047800,30,5308
3048000,60,3824
3048100,80,3105
3048200,67,6122
3048400,80,5922
3048500,78,2470
3048600,45,3597
3048800,50,4536
3048900,50,3757
3049000,87,6036
3049100,90,6366
3049200,30,3366
3049301,45,1897
3049302,50,5476
3049400,81,5527
3049500,78,3114
3049600,67,4646
3049700,80,3141
3049800,67,4517
3049900,50,2147
3050001,45,2062
3050002,45,1607
3050100,81,2951
3050202,23,2312
3050300,78,2759
3050401,45,2997
3050402,45,2004
3050500,80,4567
3050600,86,5612
3050700,45,3545
3050801,78,4311
3050803,45,2548
3050804,90,6196
3050900,67,5112
3051001,75,3740
3051002,75,4600
3051100,84,4545
3051200,90,5946
3051300,92,5526
3051400,91,7023
3051500,81,2451
3051601,90,5407
3051602,67,3874
3051700,84,2636
3051800,50,3528
3051900,92,6101
3052000,67,4175
3052300,91,5405
3052500,60,3720
3052600,80,4353
3052700,92,6045
3052800,10,1804
3052900,50,4299
3053000,63,3606
3053101,15,2997
3053102,15,5890
3053200,27,2510
3053300,83,7115
3053400,67,4777
3053500,50,4469
3053700,45,4304
3053800,73,5535
3053900,20,2668
3054200,45,4750
3054400,40,3785
3054500,84,7304
3054600,67,5409
3054700,90,7855
3054800,10,2189
3054900,91,4748
3055000,30,3956
3055100,91,6343
3055200,60,3735
3055300,80,3078
3055400,70,4813
3055500,94,8688
3055600,27,3880
3055700,63,1848
3055800,30,2736
3056000,27,3882
3056100,84,3460
3056200,7,1695
3056301,60,4923
3056302,40,2002
3056400,10,2626
3056500,75,3738
3056600,23,2548
3056800,7,1310
3056900,45,1624
3057000,20,3534
3057100,90,4267
3057200,80,5221
3057300,75,2590
3057400,10,2560
3057500,86,4902
3057600,30,2912
3057800,60,3332
3057901,60,1416
3058000,67,3502
3058200,27,3044
3058400,63,3797
3058600,27,2655
3058800,40,3532
3058901,50,1781
3059000,23,2014
3059100,83,3856
3059200,63,4268
3059300,45,2274
3059402,75,5105
3059403,45,3779
3059404,45,4426
3059600,8,2569
3059800,40,3617
3060000,90,6844
3060600,27,3178
3060800,63,4015
3061002,50,5064
3061003,20,2418
3061004,83,6669
3061200,3,1063
3061600,3,1854
3062000,7,1767
3062200,20,3325
3062600,27,3152
3062800,40,5222
3063200,7,1476
3063600,5,1317
3063800,15,1617
3064000,10,1620
3064200,15,2865
3064400,27,2702
3064600,15,2226
3064800,15,1993
3065000,8,1439
3065200,3,1197
3065400,7,1681
3065600,8,1795
3065800,8,1844
3066000,8,1762
3066200,3,1497
3067000,27,2876
3067200,15,1435
3067400,10,1992
3067600,15,1622
3067800,30,2874
3068000,23,1887
3068200,27,2489
3068600,8,1749
3068800,8,1706
3069000,15,1880
3069200,27,2512
3069601,27,3932
3069602,60,6275
3069800,7,1417
3070000,8,1650
3070201,60,6719
3070601,45,2703
3072000,15,2205
3072200,23,2893
3072400,15,1911
3072600,15,2582
3072800,20,3645
3073000,23,2170
3073200,15,2173
3073400,15,1818
3073600,40,3473
3073800,63,3290
3074000,30,3446
3074200,30,3023
3074400,20,2481
3074600,27,2100
3074800,7,1936
3075000,27,2928
3075200,3,1042
3075400,5,1402
3075600,15,1934
3075800,8,2005
3076000,27,2832
3076200,67,4391
3076400,67,3783
3076600,15,1990
3076800,45,4049
3077000,45,2776
3077200,60,3070
3077400,50,3029
3077600,63,3784
3078000,20,2197
3078200,70,4081
3078400,20,2441
3078601,45,2374
3078602,50,2073
3078801,45,2040
3078802,45,1328
3079001,45,1347
3079002,45,3769
3079201,45,1743
3079202,30,3171
3079400,15,2742
3079601,84,4125
3079602,84,4489
3079801,60,2957
3079802,91,5647
3080000,50,3562
3080200,81,4521
3080400,45,3327
3080600,78,3781
3080800,5,1940
3081000,30,2907
3081400,23,3121
3081600,27,2580
3081800,84,4830
3082000,87,5495
3082200,91,7201
3082400,75,4963
3082600,83,5165
3082800,63,4206
3083000,83,6167
3083200,15,2362
3083400,10,1733
3083600,8,2160
3083800,8,2226
3084000,23,2324
3084600,10,1986
3084800,8,1728
3085000,8,1509
3085400,15,1962
3085600,50,3568
3085800,10,2474
3086000,50,3809
3086200,30,3427
3086400,15,2499
3086600,23,3385
3086800,45,3413
3087000,27,3570
3087200,40,3128
3087401,30,3740
3087600,15,2098
3087800,23,2730
3088001,50,2127
3088002,45,1374
3088200,80,6804
3088400,70,5513
3088600,67,4547
3088800,60,4001
3089000,67,6683
3089200,27,3673
3089400,40,3834
3089600,27,4081
3089800,10,2329
3090000,45,5434
3090200,50,3817
3090600,50,4534
3090800,91,5893
3091000,40,5814
3091200,84,6572
3091600,45,5309
3091800,27,2703
3092000,23,3491
3092200,15,3031
3092400,27,3628
3092800,23,2861
3093000,30,2567
3093200,5,1277
3093400,15,2466
3093600,7,1854
3093800,27,2662
3094401,50,3447
3094402,30,2810
3094600,15,2079
3095000,30,3170
3095400,50,5156
3095600,63,4391
3095800,30,3770
3096000,0,6
3096200,15,1701
3096400,15,2621
3096600,40,2353
3096800,20,1555
3097000,30,2357
3097400,20,2911
3098200,60,4076
3098400,10,2074
3098600,50,2814
3098800,45,3083
3099000,10,1652
3099200,20,2056
3099400,10,2116
3099600,63,4052
3099800,50,4234
3100400,23,2901
3100600,27,2662
3100800,20,2189
3101000,20,2605
3101200,15,2115
3101400,15,2268
3101600,20,1551
3101800,23,2030
3102000,20,2186
3102200,15,2313
3102400,23,2257
3102600,30,2973
3102801,45,1754
3103401,40,3980
3105801,70,7013
3105804,60,6482
3107001,30,3543
3107800,50,4112
3109800,30,2290
3110400,63,5068
3110600,63,4558
3111000,40,3037
3111600,45,3434
3111800,63,3507
3112000,40,3480
3112200,27,3514
3112400,45,4288
3112600,40,4368
3112800,45,4461
3113000,67,4460
3113200,23,2427
3113400,63,2658
3114201,7,1880
3114202,45,2670
3114400,45,2414
3114600,40,3134
3115000,20,3123
3115200,45,3496
3115600,60,4452
3115800,30,3260
3116000,23,2630
3116200,27,2374
3116400,60,3275
3116600,63,3484
3116800,10,2273
3117000,10,1974
3117201,30,2602
3117202,50,4266
3117400,73,4331
3117601,45,2760
3117602,30,3492
3117800,15,1820
3118201,40,3345
3118202,45,3275
3118400,75,5434
3118600,40,3147
3118800,70,5156
3119000,27,2217
3119200,45,3636
3119400,83,4320
3119600,75,6458
3119800,67,3696
3120000,27,2873
3120200,20,1972
3120801,45,3999
3120802,40,3770
3120803,45,2010
3121000,50,3688
3121400,75,4100
3122000,86,6169
3123700,90,8586
3150200,27,2616
3152200,63,3287
4000101,45,4659
4000102,50,7484
4000103,0,33
4000104,0,27
4000200,45,3084
4000400,70,4918
4000600,60,4177
4000701,45,3460
4000702,50,4260
4000800,30,3580
4001000,70,3789
4001200,67,4183
4001400,60,4114
4001600,30,3041
4001800,40,3044
4001901,50,1434
4001902,60,8645
4001903,60,2214
4002000,10,1871
4002200,20,2290
4002400,27,2195
4002500,70,7242
4002600,15,2150
4002800,50,3304
4003000,8,1479
4003100,15,2157
4003200,8,1791
4003301,60,4399
4003302,50,2166
4003400,27,2442
4003600,45,4195
4003700,0,2
4003800,27,2490
4003900,20,1462
4004001,27,2403
4004002,8,1361
4004200,67,4505
4004300,27,2326
4004401,50,3916
4004500,30,3252
4004700,67,4090
4005100,27,2512
4005200,45,3080
4005300,91,5397
4005400,90,5609
4005500,50,1367
4005700,90,4277
4005800,84,6194
4005900,90,4231
4006100,91,6291
4006201,50,5389
4006202,80,6949
4006300,93,5877
4006501,84,3645
4006502,84,4004
4006900,87,5196
4007100,84,4355
4007300,90,4470
4007500,84,4477
4007700,45,2114
4007900,60,3628
4008100,20,1761
4008300,50,3515
4008500,7,1979
4008600,23,2989
4008700,60,5176
4008800,40,3449
4009100,27,2733
4009400,27,2919
4009500,50,2510
4009600,40,3127
4009700,84,3860
4009800,30,2631
4010000,40,3383
4010100,40,2654
4010200,30,2866
4010300,83,4150
4010400,23,3315
4010500,60,4641
4010600,63,3417
4010701,0,7
4010800,60,3034
4011000,40,3190
4011100,73,2902
4011200,20,2497
4011300,90,4280
4011400,7,1539
4011500,63,2414
4011600,20,2370
4011700,83,3840
4011800,40,2690
4011900,20,1729
4012000,27,2385
4012100,45,2177
4012200,50,2802
4012301,63,3272
4012400,63,2873
4012500,27,1735
4012601,45,2596
4012602,27,2715
4012800,15,2212
4013000,10,1757
4013200,23,1919
4013400,70,5904
4013500,8,1526
4013600,15,1994
4013700,30,1747
4013800,60,3785
4014000,60,3952
4014100,30,1645
4014201,67,4702
4014202,40,2870
4014300,78,4007
4014400,15,2005
4014500,40,2368
