BoroCT2020,ScoreBaseHighSchools,WeightForAggregation
1023200,90,"0,2"
1023300,90,"0,2"
1023400,90,"0,1"
1023501,90,"0,2"
1023502,90,0
1023600,90,"0,3"
1023700,90,"0,3"
1023802,90,"0,2"
1023803,90,"0,1"
1023804,90,"0,2"
1023900,90,"0,1"
1024100,90,"0,2"
1024200,90,"0,3"
1024301,90,"0,1"
1024302,90,"0,2"
1024500,90,"0,2"
1024700,90,"0,3"
1024900,90,"0,1"
1025100,90,"0,2"
1025300,90,"0,2"
1025500,90,"0,4"
1025700,90,"0,1"
1025900,90,"0,1"
1026100,90,"0,2"
1026300,90,"0,2"
1026500,90,"0,2"
1026700,90,0
1026900,90,"0,2"
1027100,90,"0,2"
1027300,90,"0,2"
1027500,90,"0,3"
1027700,90,"0,2"
1027900,90,"0,2"
1028100,90,"0,1"
1028300,90,"0,2"
1028500,90,"0,1"
1028700,90,"0,5"
1029100,90,"0,2"
1029300,90,"0,2"
1029500,90,"0,1"
1029900,90,"0,6"
1030300,90,"0,2"
1030700,90,"0,1"
1030900,100,"0,3"
1031703,90,"0,2"
1031704,90,"0,2"
2000100,0,"1,7"
2000200,80,"0,5"
2000400,80,"0,8"
2001600,80,"0,5"
2001901,80,"0,2"
2001902,80,"0,5"
2001903,80,"0,9"
2002001,80,"0,2"
2002002,80,"0,2"
2002300,80,"0,1"
2002500,80,"0,1"
2002701,80,"0,1"
2002702,80,"0,2"
2002800,80,"0,4"
2003100,80,"0,2"
2003300,80,"0,2"
2003500,80,"0,1"
2003700,80,"0,2"
2003800,80,"0,1"
2003900,80,"0,2"
2004001,80,"0,1"
2004100,80,"0,2"
2004200,80,"0,5"
2004300,80,"0,2"
2004400,80,"0,3"
2004600,80,"0,1"
2004800,80,"0,1"
2005001,80,"0,1"
2005002,80,"0,1"
2005100,80,"0,5"
2005200,80,"0,2"
2005300,80,"0,1"
2005400,80,"0,2"
2005600,80,"0,1"
2005902,80,"0,1"
2006000,80,"0,3"
2006100,80,"0,2"
2006200,100,"0,2"
2006301,80,"0,8"
2006400,100,"0,2"
2006500,80,"0,3"
2006700,80,"0,2"
2006800,80,"0,2"
2006900,80,"0,2"
2007000,80,"0,2"
2007100,80,"0,3"
2007200,100,"0,2"
2007300,80,"0,1"
2007400,80,"0,2"
2007500,80,"0,2"
2007600,100,"0,2"
2007700,80,"0,1"
2007800,80,"0,3"
2007900,80,"0,2"
2008300,80,"0,2"
2008400,80,"0,2"
2008500,80,"0,2"
2008600,80,"0,2"
2008700,80,"0,2"
2008900,80,"0,1"
2009000,80,"1,1"
2009200,100,"0,3"
2009301,80,"0,6"
2009302,80,"1,8"
2009600,0,"0,7"
2009800,80,"0,5"
2011502,80,"0,3"
2011701,80,"0,2"
2011800,0,1
2011900,80,"0,2"
2012101,80,"0,1"
2012102,80,"0,1"
2012300,80,"0,3"
2012500,80,"0,2"
2012701,80,"0,1"
2012901,80,"0,2"
2013000,0,"0,1"
2013100,80,"0,2"
2013200,0,"0,6"
2013300,80,"0,2"
2013500,80,"0,2"
2013800,0,"0,8"
2014100,80,"0,2"
2014300,80,"0,1"
2014400,0,"0,4"
2014500,80,"0,2"
2014701,80,"0,1"
2014702,80,"0,1"
2014900,80,"0,2"
2015100,80,"0,2"
2015200,0,"0,3"
2015300,80,"0,2"
2015500,80,"0,1"
2015700,80,"0,3"
2015800,0,"0,2"
2015900,80,"0,1"
2016000,0,"0,5"
2016100,80,"0,2"
2016200,0,"0,2"
2016400,0,"0,2"
2016500,80,"0,2"
2016600,0,"0,3"
2016700,80,"0,2"
2016900,80,"0,1"
2017300,80,"0,2"
2017500,80,"0,2"
2017701,80,"0,1"
2017702,80,"0,1"
2017901,80,"0,1"
2017902,80,"0,1"
2018101,80,"0,1"
2018102,80,"0,1"
2018301,80,"0,1"
2018302,80,"0,1"
2018400,0,"0,4"
2018501,80,"0,2"
2018502,80,"0,2"
2018900,80,"0,4"
2019300,80,"0,2"
2019400,0,"0,8"
2019500,80,"0,2"
2019700,80,"0,1"
2019900,80,"0,2"
2020000,90,"0,3"
2020100,80,"0,3"
2020200,0,"0,1"
2020400,0,"0,1"
2020501,80,"0,3"
2020502,80,"0,1"
2020601,90,"0,2"
2020900,80,"0,1"
2021001,90,"0,2"
2021002,90,"0,2"
2021100,80,"0,2"
2021200,90,"0,1"
2021301,80,"0,1"
2021302,80,"0,2"
2021501,80,"0,1"
2021502,80,"0,2"
2021601,90,"0,2"
2021602,100,"0,2"
2021700,80,"0,2"
2021800,100,"0,3"
2021900,80,"0,1"
2022000,100,"0,2"
2022101,80,"0,1"
2022102,80,"0,1"
2022200,100,"0,2"
2022300,80,"0,1"
2022401,90,"0,1"
2022403,90,"0,1"
2022404,90,"0,1"
2022500,80,"0,2"
2022701,80,"0,1"
2022702,80,0
2022703,80,0
2022800,90,"0,2"
2022901,80,"0,1"
2022902,80,"0,1"
2023000,90,"0,2"
2023100,80,"0,1"
2023200,90,"0,1"
2023301,80,"0,1"
2023302,80,"0,1"
2023501,80,"0,1"
2023502,80,"0,1"
2023600,90,"0,1"
2023702,80,0
2023703,80,"0,1"
2023704,80,"0,1"
2023800,90,"0,3"
2023900,80,"0,2"
2024000,100,"0,2"
2024100,80,"0,1"
2024300,80,"0,1"
2024400,90,"0,2"
2024501,80,"0,1"
2024502,80,"0,1"
2024600,90,"0,2"
2024700,80,"0,1"
2024800,90,"0,3"
2024900,80,"0,2"
2025000,90,"0,2"
2025100,80,"0,2"
2025200,90,"0,2"
2025300,80,"0,1"
2025400,90,"0,2"
2025500,80,"0,2"
2025600,90,"0,2"
2025700,80,"0,2"
2026100,80,"0,2"
2026300,80,"0,2"
2026400,0,"0,4"
2026500,80,"0,2"
2026601,0,"0,2"
2026602,0,"0,3"
2026701,80,"0,1"
2026702,80,"0,2"
2026900,100,"0,4"
2027300,80,"0,2"
2027401,0,"0,7"
2027402,0,"0,5"
2027700,80,"0,2"
2027900,80,"0,3"
2028100,80,"0,1"
2028300,100,"0,2"
2028400,90,"1,1"
2028500,100,"0,3"
2028600,90,"0,2"
2028700,90,"0,2"
2028800,90,"0,3"
2028900,100,"0,2"
2029301,90,"0,2"
2029302,100,"0,4"
2029500,90,"0,2"
2029600,90,"0,7"
2029700,90,"0,2"
2030000,0,"0,4"
2030100,90,"0,1"
2030201,90,"0,2"
2030202,30,"0,3"
2030701,90,"0,4"
2030900,90,"1,3"
2031000,90,"0,6"
2031200,90,"0,2"
2031400,90,"0,2"
2031600,90,"0,2"
2031800,90,"0,2"
2031900,90,"0,2"
2032300,90,"0,6"
2032400,90,"0,3"
2032600,90,"0,3"
2032800,90,"0,2"
2033000,90,"0,2"
2033201,90,"0,1"
2033202,90,"0,1"
2033500,90,"0,2"
2033601,100,"0,1"
2033602,100,"0,1"
2033700,90,"0,4"
2033801,100,"0,1"
2033802,80,0
2034000,100,"0,2"
2034200,100,"0,2"
2034300,100,"0,1"
2034400,100,"0,2"
2034500,100,"0,3"
2034800,100,"0,4"
2035000,100,"0,2"
2035100,100,"0,6"
2035600,30,"0,4"
2035800,80,"0,7"
2035900,80,"0,1"
2036000,90,"0,3"
2036100,100,"0,2"
2036300,100,"0,2"
2036400,80,"0,2"
2036501,80,"0,1"
2036502,80,"0,1"
2036700,80,"0,1"
2036800,80,"0,2"
2036901,80,"0,1"
2036902,80,"0,1"
2037000,80,"0,2"
2037100,80,"0,2"
2037200,80,"0,2"
2037300,80,"0,2"
2037400,80,"0,2"
2037504,80,"0,2"
2037600,100,"0,1"
2037800,80,"0,1"
2037900,80,"0,2"
2038000,80,"0,2"
2038100,80,"0,2"
2038200,80,"0,2"
2038301,80,"0,1"
2038303,80,"0,1"
2038304,80,"0,1"
2038500,100,"0,2"
2038600,80,"0,4"
2038700,100,"0,2"
2038800,80,"0,1"
2038900,100,"0,2"
2039000,80,"0,2"
2039100,80,"0,2"
2039200,80,"0,1"
2039300,100,"0,2"
2039400,80,"0,1"
2039500,80,"0,4"
2039600,80,"0,2"
2039700,100,"0,5"
2039800,80,"0,2"
2039901,80,"0,2"
2039902,80,"0,1"
2040100,80,"0,2"
2040302,80,"0,1"
2040303,80,"0,1"
2040304,80,"0,1"
2040400,80,"0,2"
2040501,80,"0,1"
2040502,80,"0,1"
2040600,80,"0,2"
2040701,80,"0,1"
2040702,100,"0,2"
2040800,80,"0,1"
2040900,80,"1,2"
2041100,80,"0,1"
2041300,80,"0,2"
2041400,80,"0,6"
2041500,100,"0,1"
2041800,80,"0,3"
2041900,80,"0,3"
2042000,80,"0,2"
2042100,80,"0,2"
2042200,80,"0,2"
2042300,80,"0,2"
2042400,80,"0,2"
2042500,100,"0,3"
2042600,80,"0,5"
2042800,80,"0,2"
2042901,100,"0,1"
2042902,80,"0,1"
2043000,80,"0,2"
2043101,80,"0,1"
2043102,100,"0,1"
2043400,80,"0,3"
2043501,100,"0,4"
2043600,80,"0,2"
2044200,80,"0,2"
2044400,80,"0,4"
2044800,80,"0,2"
2044901,80,"0,2"
2044902,80,"0,2"
2045101,80,"0,2"
2045102,80,"0,2"
2045600,80,"0,9"
2045800,80,"0,2"
2046000,80,"0,3"
2046203,30,"0,9"
2046204,30,"0,1"
2046205,30,"0,9"
2046206,30,"0,1"
2046207,30,"0,2"
2046208,80,"0,5"
2046209,80,"0,5"
2048401,80,"0,5"
2048402,80,"0,2"
2051601,0,"1,2"
3000100,90,"0,2"
3000200,90,"0,3"
3000301,90,"0,2"
3000501,90,"0,1"
3000502,90,"0,1"
3000700,90,"0,2"
3000900,90,"0,2"
3001100,90,"0,2"
3001300,90,"0,3"
3001501,90,"0,2"
3001502,90,"0,1"
3001801,90,"0,5"
3001802,90,"0,6"
3001803,90,"0,6"
3002000,90,"0,2"
3002100,90,"0,5"
3002200,40,"0,3"
3002300,90,"0,2"
3002901,90,"0,1"
3003000,40,"0,1"
3003101,90,"0,2"
3003300,90,"0,2"
3003400,40,"0,5"
3003500,90,"0,1"
3003600,40,"0,1"
3003700,90,"0,2"
3003800,40,"0,1"
3003900,90,"0,2"
3004100,90,"0,2"
3004300,90,"0,2"
3004400,40,"0,4"
3004500,90,"0,2"
3004600,40,"0,3"
3004700,90,"0,3"
3004900,90,"0,1"
3005000,40,"0,2"
3005100,90,"0,2"
3005201,40,"0,1"
3005202,40,"0,1"
3005301,90,"0,6"
3005302,90,"0,8"
3005400,40,"0,2"
3005601,40,"0,2"
3005602,40,"0,1"
3005800,40,"0,2"
3005900,90,"0,4"
3006000,40,"0,2"
3006200,40,"0,2"
3006300,90,"0,1"
3006400,40,"0,2"
3006500,90,"0,2"
3006600,40,"0,2"
3006700,90,"0,2"
3006800,40,"0,2"
3006901,90,"0,1"
3006902,90,"0,1"
3007000,40,"0,1"
3007100,90,"0,2"
3007200,40,"0,1"
3007400,40,"0,1"
3007500,90,"0,3"
3007600,90,"0,1"
3007700,90,"0,4"
3007800,90,"0,1"
3008000,90,"0,1"
3008200,90,"0,1"
3008400,90,"0,2"
3008500,90,"0,2"
3008800,90,"0,2"
3009001,90,"0,1"
3009002,90,"0,1"
3009201,90,"0,1"
3009202,90,"0,1"
3009401,90,"0,1"
3009402,90,"0,1"
3009600,90,"0,2"
3009800,90,"0,2"
3010000,90,"0,2"
3010100,90,"0,3"
3010200,60,"0,2"
3010401,60,"0,1"
3010402,40,"0,1"
3010601,90,"0,1"
3010602,40,"0,1"
3010801,90,"0,1"
3010802,90,"0,1"
3011000,90,"0,2"
3011200,90,"0,2"
3011400,90,"0,2"
3011600,40,"0,2"
3011700,90,"0,2"
3011800,60,"0,2"
3011901,90,"0,5"
3012000,40,"0,2"
3012100,90,"0,1"
3012200,40,"0,2"
3012600,40,"0,2"
3012700,90,"0,2"
3012801,40,"0,1"
3012901,90,"0,1"
3012902,90,"0,1"
3013000,40,"0,2"
3013100,90,"0,2"
3013200,40,"0,2"
3013300,90,"0,1"
3013400,40,"0,3"
3013500,90,"0,2"
3013600,40,"0,2"
3013700,90,"0,2"
3013800,40,"0,2"
3013900,90,"0,2"
3014000,40,"0,1"
3014101,90,"0,1"
3014102,90,"0,1"
3014200,40,"0,2"
3014300,90,"0,2"
3014500,90,"0,2"
3014700,90,"0,1"
3014800,40,"0,1"
3014901,90,"0,1"
3014902,90,"0,2"
3015000,54,"0,1"
3015100,90,"0,1"
3015200,40,"0,3"
3015300,90,"0,2"
3015500,90,"0,1"
3015700,90,"0,2"
3015900,90,"0,3"
3016000,40,"0,3"
3016100,90,"0,2"
3016200,40,"0,2"
3016300,90,"0,2"
3016400,54,"0,8"
3016500,90,"0,2"
3016600,40,"0,3"
3016700,90,"0,2"
3016800,54,"0,2"
3016900,90,"0,2"
3017000,54,"0,2"
3017100,90,"0,2"
3017200,50,"0,2"
3017400,50,"0,2"
3017600,50,"0,1"
3017800,50,"0,2"
3017900,90,"0,2"
3018000,50,"0,2"
3018100,90,"0,2"
3018200,15,"0,2"
3018300,90,"0,1"
3018400,15,"0,1"
3018501,90,"0,1"
3018600,15,"0,1"
3018700,90,"0,1"
3018800,15,"0,2"
3019000,50,"0,2"
3019100,90,"0,3"
3019200,40,"0,2"
3019300,90,"0,3"
3019400,50,"0,2"
3019500,90,"0,1"
3019600,50,"0,2"
3019700,90,"0,2"
3019800,15,"0,1"
3019900,90,"0,2"
3020000,15,"0,1"
3020100,90,"0,2"
3020200,40,"0,1"
3020300,90,"0,1"
3020400,40,"0,1"
3020500,90,"0,2"
3020600,40,"0,2"
3020700,90,"0,1"
3020800,40,"0,1"
3021000,60,"0,1"
3021100,90,"0,3"
3021200,60,"0,2"
3021300,90,"0,2"
3021400,60,"0,2"
3021500,90,"0,2"
3021600,40,"0,2"
3021700,90,"0,1"
3021800,40,"0,2"
3021900,90,"0,1"
3022000,90,"0,2"
3022100,90,"0,2"
3022200,90,"0,2"
3022400,90,"0,2"
3022600,90,"0,2"
3022700,90,"0,2"
3022800,40,"0,2"
3022900,90,"0,2"
3023000,40,"0,2"
3023100,90,"0,2"
3023200,40,"0,2"
3023300,90,"0,2"
3023400,40,"0,2"
3023500,90,"0,1"
3023600,40,"0,2"
3023800,40,"0,2"
3024000,40,"0,2"
3024100,90,"0,2"
3024200,40,"0,2"
3024300,90,"0,2"
3024400,40,"0,2"
3024500,90,"0,2"
3024600,50,"0,2"
3024700,90,"0,2"
3024800,40,"0,2"
3024900,90,"0,2"
3025000,50,"0,2"
3025100,90,"0,1"
3025200,50,"0,2"
3025300,90,"0,2"
3025400,50,"0,2"
3025500,90,"0,1"
3025600,50,"0,2"
3025700,90,"0,2"
3025800,24,"0,2"
3025901,90,"0,1"
3025902,90,"0,1"
3026000,15,"0,2"
3026100,90,"0,2"
3026200,15,"0,2"
3026300,90,"0,1"
3026400,15,"0,2"
3026500,90,"0,2"
3026600,24,"0,2"
3026700,80,"0,2"
3026800,24,"0,2"
3026900,80,"0,1"
3027000,50,"0,1"
3027100,90,"0,2"
3027200,50,"0,1"
3027300,80,"0,1"
3027400,15,"0,2"
3027500,80,"0,2"
3027600,15,"0,1"
3027700,80,"0,2"
3027800,50,"0,2"
3027900,90,"0,2"
3028000,50,"0,1"
3028100,90,"0,2"
3028200,50,"0,2"
3028300,90,"0,1"
3028400,50,"0,2"
3028501,90,"0,1"
3028502,90,"0,1"
3028600,50,"0,2"
3028700,90,"0,1"
3028800,50,"0,2"
3028900,90,"0,2"
3029000,50,"0,2"
3029100,80,"0,2"
3029200,50,"0,2"
3029300,90,"0,2"
3029400,50,"0,2"
3029500,90,"0,2"
3029600,50,"0,2"
3029700,90,"0,2"
3029800,50,"0,2"
3029900,90,"0,1"
3030000,50,"0,2"
3030100,90,"0,2"
3030200,50,"0,2"
3030300,90,"0,3"
3030400,50,"0,5"
3030500,90,"0,3"
3030600,50,"0,2"
3030700,90,"0,3"
3030800,60,"0,7"
3030900,80,"0,2"
3031100,80,"0,2"
3031300,90,"0,2"
3031401,50,"0,4"
3031500,90,"0,2"
3031701,90,"0,1"
3031702,90,"0,1"
3031900,90,"0,2"
3032100,90,"0,2"
3032300,90,"0,2"
3032500,90,"0,2"
3032600,60,"0,3"
3032700,90,"0,2"
3032800,50,"0,2"
3032900,90,"0,2"
3033000,50,"0,4"
3033100,90,"0,1"
3033300,90,"0,2"
3033500,90,"0,2"
3033600,60,"0,7"
3033701,90,"0,1"
3033702,90,"0,1"
3033900,90,"0,2"
3034000,60,"0,1"
3034100,90,"0,1"
3034200,60,"0,2"
3034300,80,"0,2"
3034500,80,"0,2"
3034700,80,"0,1"
3034800,60,"0,6"
3034901,90,"0,1"
3034902,90,"0,1"
3035000,60,"0,2"
3035101,90,"0,1"
3035102,90,"0,1"
3035200,60,1
3035301,80,"0,1"
3035302,90,"0,1"
3035400,60,"0,4"
3035500,90,"0,1"
3035601,60,"0,1"
3035602,60,"0,2"
3035701,90,"0,1"
3035900,100,"0,2"
3036001,60,"0,1"
3036002,60,"0,1"
3036100,100,"0,1"
3036200,60,"0,2"
3036300,100,"0,3"
3036400,60,"0,1"
3036501,90,"0,1"
3036502,100,"0,1"
3036600,60,"0,2"
3036700,100,"0,2"
3036900,90,"0,2"
3037000,60,"0,3"
3037100,90,"0,2"
3037300,90,"0,2"
3037401,60,"0,2"
3037402,60,"0,3"
3037500,90,"0,2"
3037700,90,"0,2"
3037900,90,"0,2"
3038100,90,"0,2"
3038200,50,"0,2"
3038300,90,"0,2"
3038500,90,"0,2"
3038600,60,"0,3"
3038700,90,"0,2"
3038800,60,"0,2"
3038900,90,"0,2"
3039000,60,"0,2"
3039100,90,"0,2"
3039200,60,"0,2"
3039300,90,"0,2"
3039400,60,"0,2"
3039500,90,"0,2"
3039600,60,"0,2"
3039700,90,"0,2"
3039800,60,"0,2"
3039900,90,"0,2"
3040000,60,"0,2"
3040100,90,"0,2"
3040200,50,"0,2"
3040300,90,"0,2"
3040400,50,"0,2"
3040500,90,"0,1"
3040600,50,"0,1"
3040800,50,"0,2"
3040900,90,"0,2"
3041000,60,"0,1"
3041100,90,"0,1"
3041200,60,"0,2"
3041300,90,"0,2"
3041401,60,"0,1"
3041402,60,"0,2"
3041500,90,"0,2"
3041600,60,"0,2"
3041700,90,"0,1"
3041800,60,"0,2"
3041900,90,"0,2"
3042000,90,"0,2"
3042100,90,"0,2"
3042200,60,"0,2"
3042300,90,"0,2"
3042400,50,"0,2"
3042500,90,"0,2"
3042600,50,"0,2"
3042700,90,"0,1"
3042800,50,"0,2"
3042900,90,"0,2"
3043000,15,"0,2"
3043100,90,"0,2"
3043200,15,"0,1"
3043300,90,"0,2"
3043400,50,"0,1"
3043500,90,"0,2"
3043600,50,"0,1"
3043700,90,"0,2"
3043800,50,"0,2"
3043900,90,"0,2"
3044000,15,"0,2"
3044100,90,"0,1"
3044200,90,"0,2"
3044300,90,"0,2"
3044400,90,"0,2"
3044500,90,"0,2"
3044600,90,"0,1"
3044700,90,"0,2"
3044800,90,"0,2"
3044901,90,"0,4"
3044902,90,"1,7"
3045000,90,"0,2"
3045200,90,"0,2"
3045300,90,"0,3"
3045400,90,"0,1"
3045600,90,"0,2"
3045800,90,"0,2"
3046000,100,"0,2"
3046201,90,"0,1"
3046202,90,"0,2"
3046400,40,"0,2"
3046800,40,"0,3"
3047000,40,"0,2"
3047200,40,"0,2"
3047400,40,"0,2"
3047600,40,"0,2"
3047700,90,"0,2"
3047800,40,"0,2"
3048000,90,"0,2"
3048100,90,"0,2"
3048200,100,"0,2"
3048400,90,"0,2"
3048500,90,"0,6"
3048600,40,"0,2"
3048800,90,"0,1"
3048900,90,"0,1"
3049000,90,"0,2"
3049100,90,"0,2"
3049200,90,"0,2"
3049301,90,"0,1"
3049302,90,"0,2"
3049400,90,"0,2"
3049500,90,"0,1"
3049600,90,"0,2"
3049700,90,"0,2"
3049800,90,"0,2"
3049900,90,"0,1"
3050001,90,"0,1"
3050002,90,"0,1"
3050100,90,"0,2"
3050202,90,"0,1"
3050300,90,"0,1"
3050401,90,"0,1"
3050402,90,"0,1"
3050500,90,"0,2"
3050600,90,"0,2"
3050700,90,"0,2"
3050801,90,"0,1"
3050803,90,"0,1"
3050804,90,"0,1"
3050900,90,"0,1"
3051001,90,"0,1"
3051002,90,"0,1"
3051100,90,"0,2"
3051200,90,"0,1"
3051300,90,"0,3"
3051400,90,"0,2"
3051500,90,"0,2"
3051601,90,"0,1"
3051602,90,"0,1"
3051700,90,"0,2"
3051800,90,"0,2"
3051900,90,"0,3"
3052000,100,"0,2"
3052300,90,"0,1"
3052500,90,"0,1"
3052600,100,"0,2"
3052700,90,"0,2"
3052800,90,"0,2"
3052900,90,"0,2"
3053000,90,"0,2"
3053101,90,"0,1"
3053102,90,"0,1"
3053200,90,"0,2"
3053300,90,"0,2"
3053400,90,"0,2"
3053500,90,"0,1"
3053700,90,"0,2"
3053800,90,"0,2"
3053900,90,"0,1"
3054200,90,"0,2"
3054400,90,"0,2"
3054500,90,"0,2"
3054600,90,"0,2"
3054700,90,"0,2"
3054800,90,"0,2"
3054900,90,"0,2"
3055000,90,"0,2"
3055100,90,"0,2"
3055200,90,"0,2"
3055300,90,"0,2"
3055400,90,"0,2"
3055500,90,"0,3"
3055600,60,"0,2"
3055700,90,"0,3"
3055800,15,"0,2"
3056000,15,"0,2"
3056100,90,"0,3"
3056200,15,"0,2"
3056301,90,"0,2"
3056302,90,"0,2"
3056400,15,"0,2"
3056500,90,"0,2"
3056600,15,"0,2"
3056800,15,"0,1"
3056900,90,"0,1"
3057000,0,"0,3"
3057100,90,"0,2"
3057200,0,"0,2"
3057300,90,"0,2"
3057400,15,"0,2"
